country,question,value,round,country_iso,iso_639_3,iso_scope,iso_ref_name
14,Q3OTHER,tangale,r4,NG,tan,I,Tangale
14,Q3OTHER,tarah,r4,NG,ttr,I,Tera
14,Q3OTHER,tera,r4,NG,ttr,I,Tera
14,Q3OTHER,tigum,r4,NG,nza,I,Tigon Mbembe
14,Q3OTHER,tigun,r4,NG,nza,I,Tigon Mbembe
14,Q3OTHER,ugep,r4,NG,yaz,I,Lokaa
14,Q3OTHER,waja,r4,NG,wja,I,Waja
14,Q3OTHER,yakur,r4,NG,yaz,I,Lokaa
14,Q3OTHER,zuru,r4,NG,dri,I,C'Lela
15,Q3OTHER,balante,r4,SN,bjt,I,Balanta-Ganja
15,Q3OTHER,marocain,r4,SN,,,
16,Q3OTHER,asian,r4,ZA,und,S,Undetermined
16,Q3OTHER,asian/indian,r4,ZA,und,S,Undetermined
16,Q3OTHER,chichewa,r4,ZA,,,
16,Q3OTHER,indian,r4,ZA,und,S,Undetermined
16,Q3OTHER,pashto,r4,ZA,pbu,I,Northern Pashto
16,Q3OTHER,pashto,r4,ZA,pus,M,Pushto
17,Q3OTHER,kakaguru,r4,TZ,,,
17,Q3OTHER,kial-yorobi,r4,TZ,,,
17,Q3OTHER,kiarusha,r4,TZ,,,
17,Q3OTHER,kiasi,r4,TZ,,,
17,Q3OTHER,kibarbaik,r4,TZ,,,
17,Q3OTHER,kibembe,r4,TZ,bmb,I,Bembe
17,Q3OTHER,kibena,r4,TZ,bez,I,Bena (Tanzania)
17,Q3OTHER,kibondei,r4,TZ,bou,I,Bondei
17,Q3OTHER,kibungu,r4,TZ,wun,I,Bungu
17,Q3OTHER,kidigo,r4,TZ,dig,I,Digo
17,Q3OTHER,kiha,r4,TZ,haq,I,Ha
17,Q3OTHER,kihangaza,r4,TZ,han,I,Hangaza
17,Q3OTHER,kihindi,r4,TZ,,,
17,Q3OTHER,kiiraqi,r4,TZ,,,
17,Q3OTHER,kijaluo,r4,TZ,,,
17,Q3OTHER,kijita,r4,TZ,jit,I,Jita
17,Q3OTHER,kikerewe,r4,TZ,ked,I,Kerewe
17,Q3OTHER,kikimbu,r4,TZ,kiv,I,Kimbu
17,Q3OTHER,kikine,r4,TZ,ssc,I,Suba-Simbiti
17,Q3OTHER,kikinga,r4,TZ,zga,I,Kinga
17,Q3OTHER,kikonongo,r4,TZ,kcz,I,Konongo
17,Q3OTHER,kikutu,r4,TZ,kdc,I,Kutu
17,Q3OTHER,kikwaya,r4,TZ,kya,I,Kwaya
17,Q3OTHER,kilambya,r4,TZ,,,
17,Q3OTHER,kilindi,r4,TZ,,,
17,Q3OTHER,kilungwa,r4,TZ,,,
17,Q3OTHER,kimakua,r4,TZ,mgh,I,Makhuwa-Meetto
