round,variable,type,value,label,country,lang_name,iso_639_3,glottocode,wals,n_resp,prop
1,language,respondent,3,Chinyungwe,NA,chinyungwe,nyu,nyun1248,sen,1,8.453085376162299e-4
1,language,respondent,5,Damara,NA,damara,naq,dama1270,kho,80,0.0676246830092984
1,language,respondent,6,English,NA,english,eng,stan1293,eng,37,0.03127641589180051
1,language,respondent,7,German,NA,german,deu,stan1295,ger,8,0.006762468300929839
1,language,respondent,8,Nama,NA,nama,naq,nama1265,kho,75,0.06339814032121724
1,language,respondent,9,Ndebele,NA,ndebele,nde,nort2795,swt xho zul,1,8.453085376162299e-4
1,language,respondent,10,Oshiwambo,NA,oshiwambo,kua,kuan1247,mhu ndo,569,0.4809805579036348
1,language,respondent,11,Otjiherero,NA,otjiherero,her,here1253,her,92,0.07776838546069316
1,language,respondent,12,Portueguese,NA,portueguese,por,port1283,por,1,8.453085376162299e-4
1,language,respondent,13,Rukwangali,NA,rukwangali,kwn,kwan1273,kwn,54,0.04564666103127642
1,language,respondent,15,Setswana/Tswana,NA,setswana/tswana,tsn,tswa1253,tsw,4,0.0033812341504649195
1,language,respondent,16,Silozi,NA,silozi,loz,lozi1239,loz,59,0.049873203719357564
1,language,respondent,18,Shona,NA,shona,sna,shon1251,shn,1,8.453085376162299e-4
1,language,respondent,21,Venda,NA,venda,ven,vend1245,ven,1,8.453085376162299e-4
1,language,respondent,24,Sepedi/N.Sotho,NA,sepedi/n.sotho,nso,pedi1238,stn,27,0.02282333051563821
1,language,respondent,999,Missing data,NA,missing data,und,,,44,0.037193575655114115
1,language,respondent,103,Hausa,NG,hausa,hau,haus1257,hau,1136,0.31529281154593397
1,language,respondent,104,Yoruba,NG,yoruba,yor,yoru1245,yor,919,0.25506522342492366
1,language,respondent,105,Ibo,NG,ibo,ibo,nucl1417,igb,601,0.16680543991118513
1,language,respondent,106,Tiv,NG,tiv,tiv,tivv1240,tiv,81,0.022481265611990008
1,language,respondent,107,Ijaw,NG,ijaw,ijc,izon1238,ijo,53,0.014709963918956424
1,language,respondent,108,Nupe,NG,nupe,nup,nupe1254,nup,15,0.004163197335553705
1,language,respondent,109,Kanuri,NG,kanuri,kby knc,kanu1281,knr,122,0.03386067166250347
1,language,respondent,110,Ibibio-Efik,NG,ibibio-efik,efi ibb,efik1244,efi ibi,79,0.02192617263391618
1,language,respondent,111,Edo,NG,edo,bin,bini1246,bni,128,0.035525950596724955
1,language,respondent,113,Irobo/Urhobo,NG,irobo/urhobo,urh,urho1239,urh,64,0.017762975298362477
1,language,respondent,114,Idoma,NG,idoma,idu,idom1241,ido,14,0.0038856508465167916
1,language,respondent,115,Calabar,NG,calabar,efi,efik1245,efi,3,8.326394671107411e-4
1,language,respondent,116,Ogoja,NG,ogoja,yba,yala1263,ido,5,0.0013877324451845685
1,language,respondent,117,Knale,NG,knale,ukw,ukwu1242,igb izi,2,5.550929780738274e-4
1,language,respondent,118,Igala,NG,igala,igl,igal1242,ise yor,10,0.002775464890369137
1,language,respondent,119,Boki,NG,boki,bky,boky1238,efi gok ibi kan koh agb obo ogb obg,1,2.775464890369137e-4
1,language,respondent,120,Igbira,NG,igbira,igb,ebir1243,ebi,10,0.002775464890369137
1,language,respondent,121,Ikpon,NG,ikpon,ish,ekpo1238,bni ora,1,2.775464890369137e-4
