round,variable,lang_id,lang_name,country,iso_alpha2,wals_code,wals_name,auto
1,language,119,Boki,7,NG,tet,Tetela,1
1,language,119,Boki,7,NG,tgo,Tsogo,1
1,language,119,Boki,7,NG,tiv,Tiv,1
1,language,119,Boki,7,NG,tki,Tuki,1
1,language,119,Boki,7,NG,tks,Teke (Southern),1
1,language,119,Boki,7,NG,toz,Tonga (in Zambia),1
1,language,119,Boki,7,NG,tsn,Tsonga,1
1,language,119,Boki,7,NG,tsw,Tswana,1
1,language,119,Boki,7,NG,umb,UMbundu,1
1,language,119,Boki,7,NG,ven,Venda,1
1,language,119,Boki,7,NG,vif,Vili,1
1,language,119,Boki,7,NG,xho,Xhosa,1
1,language,119,Boki,7,NG,yak,Yaka,1
1,language,119,Boki,7,NG,yao,Yao (in Malawi),1
1,language,119,Boki,7,NG,yba,Yamba,1
1,language,119,Boki,7,NG,yem,Yemba,1
1,language,119,Boki,7,NG,yey,Yeyi,1
1,language,119,Boki,7,NG,yns,Yansi,1
1,language,119,Boki,7,NG,zul,Zulu,1
1,language,120,Igbira,7,NG,ebi,Ebira,1
1,language,121,Ikpon,7,NG,,,
1,language,122,Isoko,7,NG,iso,Isoko,1
1,language,123,Ikan,7,NG,,,
1,language,124,Ishan/Esan,7,NG,bni,Bini,1
1,language,124,Ishan/Esan,7,NG,ora,Emai,1
1,language,125,Anam,7,NG,,,
1,language,126,Annag,7,NG,,,
1,language,127,Itsekiri,7,NG,ise,Isekiri,1
1,language,128,Ika,7,NG,igb,Igbo,1
1,language,128,Ika,7,NG,izi,Izi,1
1,language,129,Ukwale,7,NG,igb,Igbo,1
1,language,129,Ukwale,7,NG,izi,Izi,1
1,language,130,Epie,7,NG,deg,Degema,1
1,language,130,Epie,7,NG,egn,Engenni,1
1,language,131,Tangoa,7,NG,tiv,Tiv,1
1,language,132,Omoku,7,NG,,,
1,language,133,Ora,7,NG,,,
1,language,134,Auche,7,NG,,,
1,language,135,Okirika,7,NG,,,
1,language,136,Esako,7,NG,,,
1,language,137,Okpe,7,NG,iso,Isoko,1
1,language,137,Okpe,7,NG,urh,Urhobo,1
1,language,138,Owan,7,NG,,,
1,language,139,Ikwerre,7,NG,igb,Igbo,1
1,language,139,Ikwerre,7,NG,izi,Izi,1
1,language,140,Ibani,7,NG,ijo,Ijo (Kolokuma),1
1,language,141,Kalabari,7,NG,ijo,Ijo (Kolokuma),1
1,language,142,Ogoni,7,NG,kan,Kana,1
1,language,143,Akassa,7,NG,ijo,Ijo (Kolokuma),1
1,language,145,Berieberi,7,NG,knr,Kanuri,1
1,language,146,Fulani,7,NG,fgo,Fulani (Gombe),1
1,language,147,Kagoro,7,NG,gwo,Gworok,1
1,language,148,Bekwarr,7,NG,agh,Aghem,1
1,language,148,Bekwarr,7,NG,aka,Aka,1
1,language,148,Bekwarr,7,NG,bab,Babungo,1
1,language,148,Bekwarr,7,NG,baf,Bafut,1
1,language,148,Bekwarr,7,NG,bas,Basaá,1
1,language,148,Bekwarr,7,NG,bbl,Babole,1
1,language,148,Bekwarr,7,NG,bdu,Budu,1
1,language,148,Bekwarr,7,NG,bee,Beembe,1
1,language,148,Bekwarr,7,NG,bfi,Bafia,1
1,language,148,Bekwarr,7,NG,bga,Benga,1
1,language,148,Bekwarr,7,NG,bia,Bira,1
1,language,148,Bekwarr,7,NG,bku,Bakueri,1
1,language,148,Bekwarr,7,NG,blu,Bena-Lulua,1
1,language,148,Bekwarr,7,NG,bmn,Bamun,1
1,language,148,Bekwarr,7,NG,bnk,Bankon,1
1,language,148,Bekwarr,7,NG,bob,Bobangi,1
1,language,148,Bekwarr,7,NG,bol,Bolia,1
1,language,148,Bekwarr,7,NG,bsh,Bushoong,1
1,language,148,Bekwarr,7,NG,bub,Bubi,1
1,language,148,Bekwarr,7,NG,buj,Bujeba,1
1,language,148,Bekwarr,7,NG,buk,Bukusu,1
1,language,148,Bekwarr,7,NG,buw,Bulu,1
1,language,148,Bekwarr,7,NG,cga,Chaga,1
1,language,148,Bekwarr,7,NG,cic,Chichewa,1
1,language,148,Bekwarr,7,NG,com,Comorian,1
1,language,148,Bekwarr,7,NG,dbd,Dabida,1
1,language,148,Bekwarr,7,NG,dma,Duma,1
1,language,148,Bekwarr,7,NG,dng,Ding,1
1,language,148,Bekwarr,7,NG,dua,Duala,1
1,language,148,Bekwarr,7,NG,eja,Ejagham,1
1,language,148,Bekwarr,7,NG,eko,Ekoti,1
1,language,148,Bekwarr,7,NG,eny,Enya,1
1,language,148,Bekwarr,7,NG,ewo,Ewondo,1
1,language,148,Bekwarr,7,NG,fef,Fe'fe',1
1,language,148,Bekwarr,7,NG,gun,Gunu,1
1,language,148,Bekwarr,7,NG,gus,Gusii,1
1,language,148,Bekwarr,7,NG,heh,Hehe,1
1,language,148,Bekwarr,7,NG,hem,Hemba,1
1,language,148,Bekwarr,7,NG,her,Herero,1
1,language,148,Bekwarr,7,NG,hnd,Hunde,1
1,language,148,Bekwarr,7,NG,hol,Holoholo,1
1,language,148,Bekwarr,7,NG,hya,Haya,1
1,language,148,Bekwarr,7,NG,ifm,Ifumu,1
1,language,148,Bekwarr,7,NG,ila,Ila,1
1,language,148,Bekwarr,7,NG,jar,Jarawa (in Nigeria),1
1,language,148,Bekwarr,7,NG,kba,Kamba,1
1,language,148,Bekwarr,7,NG,kga,Kinga,1
1,language,148,Bekwarr,7,NG,kgr,Kagulu,1
1,language,148,Bekwarr,7,NG,kik,Kikuyu,1
1,language,148,Bekwarr,7,NG,kil,Kiluba,1
1,language,148,Bekwarr,7,NG,kin,Kinyarwanda,1
1,language,148,Bekwarr,7,NG,klz,Kalanga,1
1,language,148,Bekwarr,7,NG,kmi,Kami,1
1,language,148,Bekwarr,7,NG,kon,Kongo,1
1,language,148,Bekwarr,7,NG,kou,Kom,1
1,language,148,Bekwarr,7,NG,kte,Kete,1
1,language,148,Bekwarr,7,NG,kwn,Kwangali,1
1,language,148,Bekwarr,7,NG,kwy,Iwoyo,1
1,language,148,Bekwarr,7,NG,kyg,Kenyang,1
1,language,148,Bekwarr,7,NG,kyo,Kanyok,1
1,language,148,Bekwarr,7,NG,lbu,Lunda,1
1,language,148,Bekwarr,7,NG,lda,Luganda,1
1,language,148,Bekwarr,7,NG,ldo,Londo,1
1,language,148,Bekwarr,7,NG,leb,Lebeo,1
1,language,148,Bekwarr,7,NG,leg,Lega,1
1,language,148,Bekwarr,7,NG,lgi,Langi,1
1,language,148,Bekwarr,7,NG,lin,Lingala,1
1,language,148,Bekwarr,7,NG,lmb,Lamba,1
1,language,148,Bekwarr,7,NG,lns,Lamnso',1
1,language,148,Bekwarr,7,NG,loz,Lozi,1
1,language,148,Bekwarr,7,NG,luc,Lucazi,1
1,language,148,Bekwarr,7,NG,luv,Luvale,1
1,language,148,Bekwarr,7,NG,luy,Luyia,1
1,language,148,Bekwarr,7,NG,mbe,Mbere,1
1,language,148,Bekwarr,7,NG,mbi,Mbili,1
1,language,148,Bekwarr,7,NG,mbl,Mbole,1
1,language,148,Bekwarr,7,NG,mbz,Mbe',1
1,language,148,Bekwarr,7,NG,mdw,Mbosi,1
1,language,148,Bekwarr,7,NG,mgk,Mungaka,1
1,language,148,Bekwarr,7,NG,mgo,Mongo,1
1,language,148,Bekwarr,7,NG,mhu,Mbalanhu,1
1,language,148,Bekwarr,7,NG,mit,Mituku,1
1,language,148,Bekwarr,7,NG,mkd,Makonde,1
1,language,148,Bekwarr,7,NG,mkq,Mankon,1
1,language,148,Bekwarr,7,NG,mkz,Makaa,1
1,language,148,Bekwarr,7,NG,mmw,Mambwe,1
1,language,148,Bekwarr,7,NG,mpo,Mpongwe,1
1,language,148,Bekwarr,7,NG,mtb,Matuumbi,1
1,language,148,Bekwarr,7,NG,mua,Makua,1
1,language,148,Bekwarr,7,NG,mud,Mundani,1
1,language,148,Bekwarr,7,NG,mwe,Mwera,1
1,language,148,Bekwarr,7,NG,nbe,Ngombe,1
1,language,148,Bekwarr,7,NG,nbo,Nyambo,1
1,language,148,Bekwarr,7,NG,ndb,Ndebele (in South Africa),1
1,language,148,Bekwarr,7,NG,nde,Nande,1
1,language,148,Bekwarr,7,NG,ndo,Ndonga,1
1,language,148,Bekwarr,7,NG,ndu,Ndumu,1
1,language,148,Bekwarr,7,NG,ngo,Ngoni,1
1,language,148,Bekwarr,7,NG,nke,Nkem,1
1,language,148,Bekwarr,7,NG,nko,Nkore-Kiga,1
