round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
4,Q3OTHER,12,muauni,wmw,I,Mwani,MZ
4,Q3OTHER,13,mufwe,fwe,I,Fwe,NA
4,Q3OTHER,14,mumuye,mzm,I,Mumuye,NG
4,Q3OTHER,12,muniga,mhm,I,Makhuwa-Moniga,MZ
4,Q3OTHER,12,munoga,mhm,I,Makhuwa-Moniga,MZ
4,Q3OTHER,14,muryang,mis,S,Uncoded languages,NG
4,Q3OTHER,14,mwaghawul,sur,I,Mwaghavul,NG
4,Q3OTHER,7,mzema,mis,S,Uncoded languages,LS
4,Q3OTHER,5,nafana,nfr,I,Nafaanra,GH
4,Q3OTHER,20,nambia,mis,S,Uncoded languages,ZW
4,Q3OTHER,20,nambya,nmq,I,Nambya,ZW
4,Q3OTHER,10,namwanga,mwn,I,Nyamwanga,MW
4,Q3OTHER,5,nanum,dag,I,Dagbani,GH
4,Q3OTHER,10,ndali,ndh,I,Ndali,MW
4,Q3OTHER,20,ndau,ndc,I,Ndau,ZW
4,Q3OTHER,19,ndebele,nde,I,North Ndebele,ZM
4,Q3OTHER,14,ndoro,ndr,I,Ndoola,NG
4,Q3OTHER,14,nedere,kmy,I,Koma,NG
4,Q3OTHER,19,ngumbo,mis,S,Uncoded languages,ZM
4,Q3OTHER,12,nhungue,nyu,I,Nyungwe,MZ
4,Q3OTHER,18,nubian,kcn,I,Nubi,UG
4,Q3OTHER,14,numana,nbr,I,Numana-Nunku-Gbantu-Numbu,NG
4,Q3OTHER,20,nyaho (chawa),nya,I,Nyanja,ZW
4,Q3OTHER,20,nyanja,nya,I,Nyanja,ZW
4,Q3OTHER,13,nyemba,mis,S,Uncoded languages,NA
4,Q3OTHER,10,nyika,nkv,I,Nyika (Malawi and Zambia),MW
4,Q3OTHER,19,nyika,nkv,I,Nyika (Malawi and Zambia),ZM
4,Q3OTHER,12,nyungue,nyu,I,Nyungwe,MZ
4,Q3OTHER,5,nzema,nzi,I,Nzima,GH
4,Q3OTHER,14,obubra,mis,S,Uncoded languages,NG
4,Q3OTHER,14,ogaja,mis,S,Uncoded languages,NG
4,Q3OTHER,14,ogbia,ogb,I,Ogbia,NG
4,Q3OTHER,14,okirika,okr,I,Kirike,NG
4,Q3OTHER,14,opobo,mis,S,Uncoded languages,NG
4,Q3OTHER,14,oron,orx,I,Oro,NG
4,Q3OTHER,16,pashto,pbu,I,Northern Pashto,ZA
4,Q3OTHER,16,pashto,pus,M,Pushto,ZA
4,Q3OTHER,6,pokomo,pkb,I,Pokomo,KE
4,Q3OTHER,3,pougouli,pug,I,Phuie,BF
4,Q3OTHER,14,rendere,rin,I,Nungu,NG
4,Q3OTHER,12,ronga,rng,I,Ronga,MZ
4,Q3OTHER,18,rufumbira,kin,I,Kinyarwanda,UG
4,Q3OTHER,18,rulundi,run,I,Rundi,UG
4,Q3OTHER,18,runyarwanda,kin,I,Kinyarwanda,UG
4,Q3OTHER,18,rwandese,kin,I,Kinyarwanda,UG
4,Q3OTHER,18,sabiny,kpz,I,Kupsabiny,UG
4,Q3OTHER,6,saboti,spy,I,Sabaot,KE
4,Q3OTHER,6,saboti,kln,M,Kalenjin,KE
4,Q3OTHER,19,sala,shq,I,Sala,ZM
4,Q3OTHER,11,samogo,dux,I,Duungooma,ML
4,Q3OTHER,13,san,ktz,I,Ju/'hoan,NA
4,Q3OTHER,8,sarpo,krn,I,Sapo,LR
4,Q3OTHER,2,sebanderu,mis,S,Uncoded languages,BW
4,Q3OTHER,5,sefwi,sfw,I,Sehwi,GH
4,Q3OTHER,2,segxereku,mis,S,Uncoded languages,BW
4,Q3OTHER,12,sena,seh,I,Sena,MZ
4,Q3OTHER,2,senajwa,mis,S,Uncoded languages,BW
4,Q3OTHER,19,senga,nse,I,Nsenga,ZM
4,Q3OTHER,2,seshona,sna,I,Shona,BW
4,Q3OTHER,2,sesotho,sot,I,Southern Sotho,BW
4,Q3OTHER,2,setlharwa,mis,S,Uncoded languages,BW
4,Q3OTHER,2,setswapong,two,I,Tswapong,BW
4,Q3OTHER,2,sezezuru,sna,I,Shona,BW
4,Q3OTHER,20,shangani,tso,I,Tsonga,ZW
4,Q3OTHER,12,shona,sna,I,Shona,MZ
4,Q3OTHER,19,shona,sna,I,Shona,ZM
4,Q3OTHER,12,"shona, cheua",sna,I,Shona,MZ
