respno,country,lang_name,iso_639_3,glottocode,wals,lang_numb
BEN0188,BJ,fon,fon,fonn1241,fon,3
BEN0188,BJ,francais,fra,stan1290,fre,3
BEN0189,BJ,fon,fon,fonn1241,fon,1
BEN0190,BJ,fon,fon,fonn1241,fon,1
BEN0191,BJ,fon,fon,fonn1241,fon,2
BEN0191,BJ,adja,ajg,ajab1235,ajg,2
BEN0192,BJ,fon,fon,fonn1241,fon,2
BEN0192,BJ,adja,ajg,ajab1235,ajg,2
BEN0193,BJ,fon,fon,fonn1241,fon,2
BEN0193,BJ,francais,fra,stan1290,fre,2
BEN0194,BJ,fon,fon,fonn1241,fon,2
BEN0194,BJ,francais,fra,stan1290,fre,2
BEN0195,BJ,fon,fon,fonn1241,fon,2
BEN0195,BJ,francais,fra,stan1290,fre,2
BEN0196,BJ,fon,fon,fonn1241,fon,1
BEN0197,BJ,fon,fon,fonn1241,fon,2
BEN0197,BJ,francais,fra,stan1290,fre,2
BEN0198,BJ,fon,fon,fonn1241,fon,2
BEN0198,BJ,francais,fra,stan1290,fre,2
BEN0199,BJ,fon,fon,fonn1241,fon,2
BEN0199,BJ,adja,ajg,ajab1235,ajg,2
BEN0200,BJ,fon,fon,fonn1241,fon,1
BEN0201,BJ,fon,fon,fonn1241,fon,1
BEN0202,BJ,fon,fon,fonn1241,fon,2
BEN0202,BJ,francais,fra,stan1290,fre,2
BEN0203,BJ,fon,fon,fonn1241,fon,4
BEN0203,BJ,francais,fra,stan1290,fre,4
BEN0203,BJ,anglais,eng,stan1293,eng,4
BEN0203,BJ,adja,ajg,ajab1235,ajg,4
BEN0204,BJ,fon,fon,fonn1241,fon,3
BEN0204,BJ,francais,fra,stan1290,fre,3
BEN0204,BJ,anglais,eng,stan1293,eng,3
BEN0205,BJ,fon,fon,fonn1241,fon,1
BEN0206,BJ,fon,fon,fonn1241,fon,2
BEN0206,BJ,francais,fra,stan1290,fre,2
BEN0207,BJ,fon,fon,fonn1241,fon,3
BEN0207,BJ,francais,fra,stan1290,fre,3
BEN0207,BJ,anglais,eng,stan1293,eng,3
BEN0208,BJ,fon,fon,fonn1241,fon,1
BEN0209,BJ,fon,fon,fonn1241,fon,3
BEN0209,BJ,yoruba,yor,yoru1245,yor,3
BEN0209,BJ,francais,fra,stan1290,fre,3
BEN0210,BJ,fon,fon,fonn1241,fon,1
BEN0211,BJ,fon,fon,fonn1241,fon,2
BEN0211,BJ,francais,fra,stan1290,fre,2
BEN0212,BJ,fon,fon,fonn1241,fon,3
BEN0212,BJ,francais,fra,stan1290,fre,3
BEN0212,BJ,anglais,eng,stan1293,eng,3
BEN0213,BJ,fon,fon,fonn1241,fon,4
BEN0213,BJ,francais,fra,stan1290,fre,4
BEN0213,BJ,anglais,eng,stan1293,eng,4
BEN0213,BJ,adja,ajg,ajab1235,ajg,4
BEN0214,BJ,fon,fon,fonn1241,fon,1
BEN0215,BJ,fon,fon,fonn1241,fon,1
BEN0216,BJ,fon,fon,fonn1241,fon,1
BEN0217,BJ,fon,fon,fonn1241,fon,1
BEN0218,BJ,fon,fon,fonn1241,fon,1
BEN0219,BJ,fon,fon,fonn1241,fon,2
BEN0219,BJ,francais,fra,stan1290,fre,2
BEN0220,BJ,fon,fon,fonn1241,fon,2
BEN0220,BJ,francais,fra,stan1290,fre,2
BEN0221,BJ,fon,fon,fonn1241,fon,2
BEN0221,BJ,adja,ajg,ajab1235,ajg,2
BEN0222,BJ,fon,fon,fonn1241,fon,1
BEN0223,BJ,fon,fon,fonn1241,fon,1
BEN0224,BJ,fon,fon,fonn1241,fon,1
BEN0225,BJ,fon,fon,fonn1241,fon,1
BEN0226,BJ,fon,fon,fonn1241,fon,1
BEN0227,BJ,fon,fon,fonn1241,fon,1
BEN0228,BJ,fon,fon,fonn1241,fon,1
BEN0229,BJ,fon,fon,fonn1241,fon,3
BEN0229,BJ,francais,fra,stan1290,fre,3
BEN0229,BJ,yoruba,yor,yoru1245,yor,3
BEN0230,BJ,fon,fon,fonn1241,fon,1
BEN0231,BJ,fon,fon,fonn1241,fon,1
BEN0232,BJ,fon,fon,fonn1241,fon,1
BEN0233,BJ,fon,fon,fonn1241,fon,4
BEN0233,BJ,francais,fra,stan1290,fre,4
BEN0233,BJ,adja,ajg,ajab1235,ajg,4
BEN0233,BJ,dendi,ddn,dend1243,zar,4
BEN0234,BJ,fon,fon,fonn1241,fon,4
BEN0234,BJ,francais,fra,stan1290,fre,4
BEN0234,BJ,anglais,eng,stan1293,eng,4
BEN0234,BJ,adja,ajg,ajab1235,ajg,4
BEN0235,BJ,fon,fon,fonn1241,fon,2
BEN0235,BJ,francais,fra,stan1290,fre,2
BEN0236,BJ,francais,fra,stan1290,fre,3
BEN0236,BJ,fon,fon,fonn1241,fon,3
BEN0236,BJ,dendi,ddn,dend1243,zar,3
BEN0237,BJ,fon,fon,fonn1241,fon,3
BEN0237,BJ,francais,fra,stan1290,fre,3
BEN0237,BJ,anglais,eng,stan1293,eng,3
BEN0238,BJ,fon,fon,fonn1241,fon,2
BEN0238,BJ,adja,ajg,ajab1235,ajg,2
BEN0239,BJ,fon,fon,fonn1241,fon,3
BEN0239,BJ,francais,fra,stan1290,fre,3
BEN0239,BJ,anglais,eng,stan1293,eng,3
BEN0240,BJ,fon,fon,fonn1241,fon,2
BEN0240,BJ,yoruba,yor,yoru1245,yor,2
BEN0241,BJ,fon,fon,fonn1241,fon,1
BEN0242,BJ,fon,fon,fonn1241,fon,2
BEN0242,BJ,francais,fra,stan1290,fre,2
BEN0243,BJ,fon,fon,fonn1241,fon,1
BEN0244,BJ,fon,fon,fonn1241,fon,2
BEN0244,BJ,yoruba,yor,yoru1245,yor,2
BEN0245,BJ,fon,fon,fonn1241,fon,2
BEN0245,BJ,francais,fra,stan1290,fre,2
BEN0246,BJ,fon,fon,fonn1241,fon,1
BEN0247,BJ,fon,fon,fonn1241,fon,1
BEN0248,BJ,fon,fon,fonn1241,fon,1
BEN0249,BJ,fon,fon,fonn1241,fon,3
BEN0249,BJ,francais,fra,stan1290,fre,3
BEN0249,BJ,yoruba,yor,yoru1245,yor,3
BEN0250,BJ,fon,fon,fonn1241,fon,2
BEN0250,BJ,francais,fra,stan1290,fre,2
BEN0251,BJ,fon,fon,fonn1241,fon,1
BEN0252,BJ,fon,fon,fonn1241,fon,1
BEN0253,BJ,fon,fon,fonn1241,fon,1
