round,variable,value,name,country,iso_alpha2,n_resp,prop
1,language,181,Waja,7,NG,2,5.550929780738274e-4
1,language,182,Jukun,7,NG,1,2.775464890369137e-4
1,language,183,Bayam,7,NG,1,2.775464890369137e-4
1,language,184,Shuwa Arab,7,NG,8,0.0022203719122953097
1,language,185,Ndochi,7,NG,1,2.775464890369137e-4
1,language,186,Kare Kare,7,NG,1,2.775464890369137e-4
1,language,187,Gwari,7,NG,29,0.008048848182070497
1,language,188,Rukuba,7,NG,1,2.775464890369137e-4
1,language,189,Alur,10,UG,26,0.0126704666032072
1,language,190,Ateso,10,UG,108,0.050522483936271664
1,language,191,Kakwa,10,UG,5,0.0023863343175127877
1,language,192,Kinyarwanda,10,UG,23,0.009022280965769751
1,language,193,Kiswahili,10,UG,8,0.003541637131009754
1,language,194,Luganda,10,UG,576,0.21923279791975048
1,language,195,Lugbara,10,UG,66,0.031655473203050635
1,language,196,Lumasaba,10,UG,117,0.054474464901953366
1,language,197,Luo,10,UG,292,0.14288418881804246
1,language,198,Lusoga,10,UG,225,0.10357131221089912
1,language,199,Madi,10,UG,9,0.004402830844119535
1,language,200,Ruhororo,10,UG,16,0.00708591596052598
1,language,201,Rukiga,10,UG,146,0.06598434529465065
1,language,202,Runyoro,10,UG,78,0.03523497467931982
1,language,203,Rutooro,10,UG,271,0.12010922542758092
1,language,204,Ruyankole,10,UG,67,0.02959670950034034
1,language,205,Samia-Lugwe,10,UG,35,0.01613725560986692
1,language,206,Swahili,9,TZ,1017,0.44127321655427404
1,language,207,Chagga,9,TZ,44,0.02081623918002705
1,language,208,Kurya,9,TZ,33,0.015612179385020287
1,language,209,Nyakyusa,9,TZ,70,0.03311674415004303
1,language,210,Pare,9,TZ,44,0.02081623918002705
1,language,211,Haya,9,TZ,82,0.038793900290050407
1,language,212,Sukuma,9,TZ,207,0.09793094341512726
1,language,213,Luguru,9,TZ,29,0.013719794005017827
1,language,214,Hehe,9,TZ,31,0.014665986695019057
1,language,215,Masai,9,TZ,12,0.005677156140007377
1,language,216,Mbulu,9,TZ,16,0.007569541520009836
1,language,217,Makonde,9,TZ,33,0.015612179385020287
1,language,218,Ngoni,9,TZ,32,0.015139083040019673
1,language,219,Fipa,9,TZ,39,0.018450757455023975
