from,to,distance
abd,otr,6
abd,ras,6
abd,snn,6
abd,sus,6
abd,tia,6
abd,vai,6
abd,wna,6
abd,xas,6
abe,abb,1
abe,abh,1
abe,aeg,1
abe,ael,1
abe,ahs,1
abe,ako,1
abe,amr,1
abe,ams,1
abe,apa,1
abe,arg,1
abe,arh,1
abe,arj,1
abe,arn,1
abe,arq,1
abe,ars,1
abe,arv,1
abe,atu,1
abe,mlt,1
abe,hba,2
abe,heb,2
abe,cld,3
abe,mma,3
abe,naa,3
abe,naj,3
abe,nap,3
abe,nsy,3
abe,amh,4
abe,bth,4
abe,chh,4
abe,hrr,4
abe,hrs,4
abe,jib,4
abe,meh,4
abe,muh,4
abe,sod,4
abe,soq,4
abe,tbe,4
abe,tgr,4
abe,tig,4
abe,aar,5
abe,abo,5
abe,agw,5
abe,anc,5
abe,awn,5
abe,bad,5
abe,ban,5
abe,bch,5
abe,bej,5
abe,bfg,5
abe,bid,5
abe,bln,5
abe,blq,5
abe,bma,5
abe,bmz,5
abe,bou,5
abe,bpa,5
abe,brf,5
abe,brj,5
abe,brn,5
abe,bse,5
abe,bsi,5
abe,bud,5
abe,bys,5
abe,cop,5
abe,dab,5
abe,dah,5
abe,dha,5
abe,dim,5
abe,diz,5
abe,dnw,5
abe,dug,5
abe,gam,5
abe,gdf,5
abe,gdr,5
abe,gim,5
abe,giz,5
abe,gnd,5
abe,goe,5
abe,gor,5
abe,gud,5
abe,hau,5
abe,hdi,5
abe,hmr,5
abe,hna,5
abe,irq,5
abe,kbl,5
abe,kef,5
abe,kem,5
abe,ker,5
abe,kjr,5
abe,klb,5
abe,knk,5
abe,ktk,5
abe,kul,5
abe,kwm,5
abe,lag,5
abe,lam,5
abe,lel,5
abe,lmg,5
abe,mas,5
abe,mbr,5
abe,mda,5
abe,mgu,5
abe,mig,5
abe,miy,5
abe,mko,5
abe,mle,5
abe,mlg,5
abe,moc,5
abe,mof,5
abe,mrg,5
abe,mup,5
abe,ngz,5
abe,orb,5
abe,orh,5
abe,orw,5
abe,owc,5
abe,paa,5
abe,per,5
abe,pod,5
abe,qaf,5
abe,ren,5
abe,ron,5
abe,sao,5
abe,sid,5
abe,som,5
abe,ssh,5
abe,tai,5
abe,tan,5
abe,tas,5
abe,ter,5
abe,tgh,5
abe,tmk,5
abe,tsk,5
abe,tug,5
abe,uld,5
abe,wly,5
abe,yms,5
abe,zay,5
abe,zen,5
abh,abb,1
abh,abe,1
abh,aeg,1
abh,ael,1
abh,ahs,1
abh,ako,1
abh,amr,1
abh,ams,1
abh,anl,1
abh,apa,1
abh,arg,1
abh,arh,1
abh,arj,1
abh,arl,1
abh,arn,1
abh,arq,1
abh,ars,1
abh,arv,1
abh,asy,1
abh,atu,1
abh,mlt,1
abh,hba,2
abh,heb,2
abh,cld,3
abh,mma,3
abh,naa,3
abh,naj,3
abh,nap,3
abh,nsy,3
abh,amh,4
abh,bth,4
abh,chh,4
abh,hrr,4
abh,hrs,4
abh,jib,4
abh,meh,4
abh,muh,4
abh,sod,4
abh,soq,4
abh,tbe,4
abh,tgr,4
abh,tig,4
abh,aar,5
abh,abo,5
abh,agw,5
abh,anc,5
abh,awn,5
abh,bad,5
abh,ban,5
abh,bch,5
abh,bej,5
abh,bfg,5
abh,bid,5
abh,bln,5
abh,blq,5
abh,bma,5
abh,bmz,5
abh,bou,5
abh,bpa,5
abh,brf,5
abh,brj,5
abh,brn,5
abh,bse,5
abh,bsi,5
abh,bud,5
abh,bys,5
abh,cop,5
abh,dab,5
abh,dah,5
abh,dha,5
abh,dim,5
abh,diz,5
abh,dnw,5
abh,dug,5
abh,gam,5
abh,gdf,5
abh,gdr,5
abh,gim,5
abh,giz,5
abh,gnd,5
abh,goe,5
abh,gor,5
abh,gud,5
abh,hau,5
abh,hdi,5
abh,hmr,5
abh,hna,5
abh,irq,5
abh,kbl,5
abh,kef,5
abh,kem,5
abh,ker,5
abh,kjr,5
abh,klb,5
abh,knk,5
abh,ktk,5
abh,kul,5
abh,kwm,5
abh,lag,5
abh,lam,5
abh,lel,5
abh,lmg,5
abh,mas,5
abh,mbr,5
abh,mda,5
abh,mgu,5
abh,mig,5
abh,miy,5
abh,mko,5
abh,mle,5
abh,mlg,5
abh,moc,5
abh,mof,5
abh,mrg,5
abh,mup,5
abh,ngz,5
abh,orb,5
abh,orh,5
abh,orw,5
abh,owc,5
abh,paa,5
abh,per,5
abh,pod,5
abh,qaf,5
abh,ren,5
abh,ron,5
abh,sao,5
abh,sid,5
abh,som,5
abh,ssh,5
abh,tai,5
abh,tan,5
abh,tas,5
abh,ter,5
abh,tgh,5
abh,tmk,5
abh,tsk,5
abh,tug,5
abh,uld,5
abh,wly,5
abh,yms,5
abh,zay,5
abh,zen,5
abi,mcv,1
abi,pga,1
abi,tob,1
abi,kdw,2
abk,abz,1
abk,adt,2
abk,ady,2
abk,ash,2
abk,kab,2
abk,uby,2
abk,agl,3
abk,anx,3
abk,arc,3
abk,ava,3
abk,axv,3
abk,bdk,3
abk,bez,3
abk,bgv,3
abk,chc,3
abk,chm,3
abk,drg,3
abk,god,3
abk,hnk,3
abk,hzb,3
abk,ing,3
abk,khi,3
abk,khv,3
abk,krt,3
abk,krz,3
abk,lak,3
abk,lez,3
abk,rut,3
abk,tbs,3
abk,tnd,3
abk,tsa,3
abk,tsz,3
abk,ttu,3
abk,udi,3
abm,koa,1
abm,mki,3
abm,crk,4
abm,smn,4
abm,cck,5
abm,cct,5
abn,ppi,1
abn,wgg,1
abn,diy,2
abn,inn,2
abn,wan,2
abn,adn,3
abn,agt,3
abn,aly,3
abn,amp,3
abn,arr,3
abn,awe,3
abn,bca,3
abn,bdm,3
abn,bii,3
abn,bnj,3
abn,bnl,3
abn,bnr,3
abn,bwa,3
abn,bxj,3
abn,byu,3
abn,dhb,3
abn,dhl,3
abn,dhr,3
abn,dhu,3
abn,dhw,3
abn,dja,3
abn,djm,3
abn,djn,3
abn,djr,3
abn,dyi,3
abn,ggd,3
abn,ggu,3
abn,gid,3
abn,gji,3
abn,glp,3
abn,gml,3
abn,gmt,3
