round,variable,country,lang_name,iso_alpha2,n_resp,prop
5,Q103OTHER,26,dii,CM,1,0.10396305799146759
5,Q103OTHER,1,ditamari,BJ,4,0.24814840024187304
5,Q103OTHER,6,eng and swahili,KE,1,0.08095379862446553
5,Q103OTHER,24,gangan,TG,1,0.0673969186192587
5,Q103OTHER,24,gourma,TG,1,0.083707588422092985
5,Q103OTHER,26,guidar,CM,2,0.06378087493594518
5,Q103OTHER,24,haoussa,TG,1,0.09710983418329801
5,Q103OTHER,26,haoussa,CM,1,0.07164941388454248
5,Q103OTHER,30,isizulu,SZ,1,1
5,Q103OTHER,6,kisii,KE,1,0.07363978926417103
5,Q103OTHER,24,kpessi,TG,1,0.08971821319594314
5,Q103OTHER,6,kuria,KE,3,0.0849420464833034
5,Q103OTHER,28,landouma,GN,2,0.4813046754408125
5,Q103OTHER,22,limba,SL,6,0.8877867173903315
5,Q103OTHER,18,lugwere,UG,21,1
5,Q103OTHER,26,mafa,CM,3,0.19887950125746295
5,Q103OTHER,28,manian,GN,1,0.28299444177991284
5,Q103OTHER,6,masai,KE,1,0.05508967902732536
5,Q103OTHER,26,mbamois,CM,1,0.06492597140335347
5,Q103OTHER,26,mbo,CM,1,0.03528495567751542
5,Q103OTHER,26,mboum,CM,1,0.06291199325826981
5,Q103OTHER,24,mina,TG,6,0.5306020274330902
5,Q103OTHER,20,nambya,ZW,1,0.06909452217156073
5,Q103OTHER,20,ndau,ZW,10,0.7316163351342015
5,Q103OTHER,20,nyanja,ZW,1,0.07080055975604369
5,Q103OTHER,1,peulh,BJ,5,0.3203112029119497
5,Q103OTHER,6,pokot,KE,4,0.25090785284248546
5,Q103OTHER,12,ronga,MZ,2,0.7676697730527988
5,Q103OTHER,19,senga,ZM,4,0.6983490333155412
5,Q103OTHER,7,sethepu,LS,1,1
5,Q103OTHER,16,shangaan,ZA,1,0.029920438946700035
5,Q103OTHER,22,sherbro,SL,1,0.11221328260966844
5,Q103OTHER,20,shona & ndebele,ZW,2,0.12848858293819407
5,Q103OTHER,16,siswati,ZA,26,0.600353361157829
5,Q103OTHER,6,somali,KE,1,0.03220960532819349
5,Q103OTHER,8,standard english,LR,400,1
5,Q103OTHER,6,swahili,KE,2,0.13579417522436038
5,Q103OTHER,26,tikar,CM,1,0.06291199325826981
5,Q103OTHER,16,tsonga,ZA,14,0.369726199895471
5,Q103OTHER,19,tumbuka,ZM,2,0.30165096668445884
5,Q103OTHER,6,turkana,KE,3,0.28646305320569543
5,Q103OTHER,12,xitsua,MZ,1,0.23233022694720115
5,Q103OTHER,26,yambassa,CM,1,0.08843938039703618
5,Q116OTHER,27,aboure,CI,50,0.1973509285658263
5,Q116OTHER,27,ahizi,CI,50,0.1973509285658263
5,Q116OTHER,24,anyanga,TG,50,1
5,Q116OTHER,14,babur,NG,47,0.0941007905789402
5,Q116OTHER,14,bachama,NG,22,0.0448356855032008
5,Q116OTHER,14,bajju,NG,50,0.09228816493309275
5,Q116OTHER,26,bandjoun,CM,46,0.06844806864798406
5,Q116OTHER,26,banen,CM,48,0.07723126525907699
5,Q116OTHER,14,bassa,NG,70,0.13329404863224426
