round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
4,ngumbo,Q3OTHER,ZM,19,,,
4,nhungue,Q3OTHER,MZ,12,nyun1248,Nyungwe,language
4,nubian,Q3OTHER,UG,18,nubi1253,Nubi,language
4,numana,Q3OTHER,NG,14,numa1252,Numana-Nunku-Gbantu-Numbu,language
4,nyaho (chawa),Q3OTHER,ZW,20,chew1246,Chewa,dialect
4,nyanja,Q3OTHER,ZW,20,nyan1308,Nyanja,language
4,nyemba,Q3OTHER,NA,13,,,
4,nyika,Q3OTHER,MW,10,nyik1246,Nyika (Malawi and Zambia),language
4,nyika,Q3OTHER,ZM,19,nyik1246,Nyika (Malawi and Zambia),language
4,nyungue,Q3OTHER,MZ,12,nyun1248,Nyungwe,language
4,nzema,Q3OTHER,GH,5,nzim1238,Nzima,language
4,obubra,Q3OTHER,NG,14,,,
4,ogaja,Q3OTHER,NG,14,,,
4,ogbia,Q3OTHER,NG,14,ogbi1239,Ogbia,language
4,okirika,Q3OTHER,NG,14,kiri1254,Kirike,language
4,opobo,Q3OTHER,NG,14,,,
4,oron,Q3OTHER,NG,14,oroo1241,Oro,language
4,pashto,Q3OTHER,ZA,16,nort2646,Northern Pashto,language
4,pokomo,Q3OTHER,KE,6,poko1261,Pokomo,language
4,pougouli,Q3OTHER,BF,3,phui1238,Phuie,language
4,rendere,Q3OTHER,NG,14,nung1292,Nungu,language
4,ronga,Q3OTHER,MZ,12,rong1268,Ronga,language
4,rufumbira,Q3OTHER,UG,18,kiny1244,Kinyarwanda,language
4,rulundi,Q3OTHER,UG,18,rund1242,Rundi,language
4,runyarwanda,Q3OTHER,UG,18,kiny1244,Kinyarwanda,language
4,rwandese,Q3OTHER,UG,18,kiny1244,Kinyarwanda,language
4,sabiny,Q3OTHER,UG,18,kups1238,Kupsabiny,language
4,saboti,Q3OTHER,KE,6,saba1262,Sabaot,language
4,sala,Q3OTHER,ZM,19,sala1266,Sala,language
4,samogo,Q3OTHER,ML,11,duun1242,Duungooma,language
4,san,Q3OTHER,NA,13,juho1239,South-Eastern Ju,language
4,sarpo,Q3OTHER,LR,8,sapo1251,Sapo,language
4,sebanderu,Q3OTHER,BW,2,,,
4,sefwi,Q3OTHER,GH,5,sehw1238,Sehwi,language
4,segxereku,Q3OTHER,BW,2,,,
4,sena,Q3OTHER,MZ,12,nucl1396,Sena,language
4,senajwa,Q3OTHER,BW,2,,,
4,senga,Q3OTHER,ZM,19,tumb1250,Tumbuka,language
4,seshona,Q3OTHER,BW,2,shon1251,Shona,language
4,sesotho,Q3OTHER,BW,2,sout2807,Southern Sotho,language
4,setlharwa,Q3OTHER,BW,2,,,
4,setswapong,Q3OTHER,BW,2,tswa1237,Tswapong,language
4,sezezuru,Q3OTHER,BW,2,shon1251,Shona,language
4,shangani,Q3OTHER,ZW,20,tson1249,Tsonga,language
4,shona,Q3OTHER,MZ,12,,,
4,shona,Q3OTHER,ZM,19,shon1251,Shona,language
4,"shona, cheua",Q3OTHER,MZ,12,,,
4,shuwa arab,Q3OTHER,NG,14,chad1249,Chadian Arabic,language
4,sifwe,Q3OTHER,NA,13,fwee1238,Fwe,language
4,sisila,Q3OTHER,GH,5,sisa1248,Sisaala,family
4,sissaba,Q3OTHER,BF,3,,,
4,swaka,Q3OTHER,ZM,19,lala1264,Lala-Bisa,language
4,tacuane,Q3OTHER,MZ,12,takw1238,Takwane,language
4,talensi,Q3OTHER,GH,5,fare1241,Farefare,language
4,tamacheck,Q3OTHER,BF,3,,,
4,tampulma,Q3OTHER,GH,5,tamp1252,Tampulma,language
4,tangale,Q3OTHER,NG,14,nucl1696,Tangale,language
4,tarah,Q3OTHER,NG,14,tera1251,Tera,language
4,taura (mozambican),Q3OTHER,ZW,20,,,
4,tera,Q3OTHER,NG,14,tera1251,Tera,language
4,teso,Q3OTHER,KE,6,teso1249,Teso,language
4,tewe,Q3OTHER,MZ,12,tewe1238,Tewe,language
